%1. Title: CK database - Feature_Emotion dataset
%
%2. Source: 
%	(a)Data   :cohn-kanade database
%	(b)Creater:Yean Seanglidet
%	(c)Date   :12-Feb-2014
@relation emotion

@ATTRIBUTE feature1 real
@ATTRIBUTE feature2 real
@ATTRIBUTE feature3 real
@ATTRIBUTE feature4 real
@ATTRIBUTE feature5 real
@ATTRIBUTE feature6 real
@ATTRIBUTE feature7 real
@ATTRIBUTE feature8 real
@ATTRIBUTE feature9 real
@ATTRIBUTE feature10 real
@ATTRIBUTE feature11 real
@ATTRIBUTE feature12 real
@ATTRIBUTE feature13 real
@ATTRIBUTE class {Surprise,Fear,Happy,Sad,Disgust,Anger}

@DATA
0.120302,0.13327,0.142413,0.120872,2.24084,2.27221,28.3039,0.478543,0.468643,0.358652,0.356915,0.159261,0.17129,Sad
0.106528,0.123862,0.128744,0.119017,2.96321,2.93754,9.98433,0.536214,0.534948,0.367446,0.38161,0.193831,0.210026,Anger
0.103388,0.112384,0.131987,0.120348,2.88451,2.88811,4.90221,0.517642,0.515037,0.359342,0.377199,0.18187,0.19151,Anger
0.124494,0.0995979,0.108126,0.12519,2.9164,2.87566,13.1975,0.522828,0.520396,0.363784,0.378494,0.186739,0.189809,Anger
0.106261,0.106613,0.113986,0.110708,3.6359,3.39888,7.26835,0.541589,0.533455,0.377875,0.387262,0.192668,0.198627,Anger
0.112304,0.123452,0.125177,0.116898,2.68487,2.78094,13.1944,0.514915,0.492727,0.377573,0.362696,0.184467,0.178969,Anger
0.0967176,0.11365,0.113221,0.124549,3.29825,2.79772,13.7328,0.503972,0.505275,0.363203,0.364125,0.186342,0.198544,Anger
0.107348,0.0991089,0.106945,0.103032,3.12612,2.97837,10.909,0.499703,0.496572,0.364101,0.375577,0.186308,0.188171,Anger
0.118315,0.115791,0.120724,0.118177,2.57519,2.66768,10.9297,0.540576,0.535616,0.379014,0.383934,0.19212,0.191514,Anger
0.118963,0.101526,0.105754,0.12346,3.50437,3.34035,7.47597,0.546141,0.539127,0.359469,0.372126,0.206099,0.214234,Anger
0.110334,0.0936802,0.102781,0.115063,3.58137,3.2445,23.1035,0.514443,0.523412,0.367893,0.383054,0.186987,0.191894,Anger
0.10163,0.127123,0.142959,0.110459,2.58237,2.57911,10.8552,0.507248,0.511612,0.353611,0.374482,0.179206,0.177222,Anger
0.107699,0.116791,0.118467,0.119336,3.46546,3.26039,12.0671,0.517668,0.507867,0.372295,0.368638,0.190021,0.191144,Anger
0.108108,0.115872,0.116524,0.111485,2.72625,2.59319,11.0712,0.497858,0.486733,0.366277,0.360919,0.179163,0.184871,Anger
0.108771,0.1158,0.118185,0.116611,2.48635,2.48393,10.3289,0.508546,0.500207,0.366916,0.373653,0.175731,0.181507,Anger
0.120626,0.100502,0.12215,0.112189,2.5251,2.47676,3.19557,0.539875,0.538629,0.357027,0.373828,0.211399,0.223578,Happy
0.101633,0.136513,0.151356,0.11633,2.13439,2.18924,3.66982,0.509022,0.494331,0.347504,0.345281,0.208278,0.203197,Happy
0.103771,0.129704,0.154135,0.118235,2.90157,2.84729,3.10102,0.548125,0.533295,0.352298,0.356098,0.225408,0.214994,Happy
0.0975702,0.125263,0.161128,0.12263,2.18205,2.2179,4.73713,0.48355,0.488393,0.317001,0.325317,0.212052,0.219423,Happy
0.100627,0.12827,0.146214,0.116938,2.8028,2.63709,3.30352,0.524907,0.520277,0.330945,0.338181,0.222176,0.223184,Happy
0.104427,0.118898,0.141388,0.115347,2.75165,2.59627,3.55322,0.510826,0.510165,0.333502,0.34152,0.215983,0.218998,Happy
0.113628,0.137262,0.154469,0.124975,2.03168,2.20122,6.0899,0.497622,0.474878,0.338211,0.337977,0.187729,0.184343,Happy
0.108877,0.114745,0.134576,0.108763,2.24204,2.34702,4.93905,0.505018,0.485062,0.360571,0.35732,0.203189,0.195136,Happy
0.118,0.119331,0.132172,0.116865,2.24172,2.40834,4.0373,0.484851,0.458187,0.343468,0.341114,0.193011,0.193849,Happy
0.135047,0.12453,0.138788,0.140064,2.29401,2.59603,4.15467,0.465701,0.445764,0.342899,0.351237,0.170312,0.178512,Happy
0.116415,0.113264,0.125402,0.122087,2.83839,3.07783,4.28783,0.472354,0.452909,0.346037,0.351326,0.183258,0.184604,Happy
0.112686,0.12053,0.143461,0.126316,2.73896,2.8057,3.78671,0.502417,0.501188,0.348932,0.348864,0.201078,0.207714,Happy
0.112888,0.120588,0.135797,0.117826,2.60195,2.76416,4.67604,0.467827,0.447838,0.341843,0.341596,0.185558,0.182829,Happy
0.110251,0.114036,0.1265,0.115735,2.36941,2.64507,4.33261,0.467271,0.449686,0.335718,0.342729,0.176535,0.185535,Happy
0.096157,0.113716,0.1293,0.106791,2.64659,2.82908,4.87827,0.463145,0.449425,0.341775,0.352793,0.185355,0.194362,Happy
0.10013,0.120877,0.137412,0.117296,2.50687,2.73456,4.84457,0.464468,0.449679,0.33172,0.336578,0.180114,0.177014,Happy
0.105642,0.117503,0.136691,0.125976,2.59541,2.6272,4.65807,0.462789,0.455523,0.333138,0.340988,0.173857,0.172497,Happy
0.117662,0.108942,0.107626,0.116437,3.40268,3.17078,22.1965,0.454891,0.460394,0.321538,0.320608,0.187243,0.184673,Surprise
0.111393,0.119656,0.119145,0.11036,3.65701,3.24711,19.9618,0.474361,0.47378,0.336552,0.326162,0.19098,0.184349,Surprise
0.116373,0.115776,0.116833,0.12265,3.03323,2.75147,4.66096,0.488381,0.479314,0.337034,0.3211,0.205663,0.195889,Surprise
0.120469,0.118675,0.135717,0.128136,2.67691,2.49412,3.35706,0.490802,0.499969,0.349314,0.348201,0.187278,0.185833,Surprise
0.142326,0.139547,0.138712,0.136913,2.63579,2.40805,2.80287,0.495998,0.505845,0.341614,0.328133,0.192758,0.199681,Surprise
0.120832,0.130704,0.139029,0.138765,2.40726,2.09174,3.72444,0.513355,0.516545,0.342322,0.338898,0.218273,0.212028,Surprise
0.141172,0.134077,0.141864,0.131437,2.77791,2.63626,2.98045,0.523831,0.529536,0.339624,0.33966,0.222294,0.224705,Surprise
0.14224,0.128196,0.136512,0.127627,2.49804,2.34601,3.45809,0.510013,0.519374,0.33514,0.328979,0.220607,0.216223,Surprise
0.12929,0.136522,0.152728,0.132431,2.54741,2.34261,3.44655,0.529375,0.544548,0.360659,0.357852,0.228377,0.222131,Surprise
0.144219,0.129168,0.138133,0.139759,2.79193,2.66131,3.17917,0.51984,0.529508,0.338037,0.336362,0.223307,0.222114,Surprise
0.145653,0.129053,0.139973,0.127082,2.58319,2.45773,2.99053,0.51123,0.524712,0.330905,0.335376,0.216027,0.217631,Surprise
0.147742,0.130881,0.136255,0.133978,2.61561,2.43961,2.90894,0.52002,0.520349,0.329839,0.330249,0.226083,0.216133,Surprise
0.112149,0.121682,0.118822,0.117287,3.17354,2.98675,24.6401,0.459903,0.468808,0.345945,0.350339,0.18098,0.179056,Sad
0.129769,0.12966,0.130827,0.138475,3.02559,2.77767,20.4879,0.456535,0.466137,0.324135,0.322546,0.178527,0.179939,Sad
0.105949,0.129396,0.134216,0.129998,3.07872,2.89781,9.63994,0.443223,0.460803,0.335368,0.33869,0.184666,0.177203,Sad
0.130522,0.143504,0.136522,0.145838,2.8255,2.45806,20.4191,0.43794,0.456953,0.325452,0.327697,0.163076,0.162594,Sad
0.123011,0.137083,0.13817,0.125963,2.64067,2.35385,4.85943,0.457755,0.462657,0.305806,0.300219,0.202211,0.215425,Sad
0.124553,0.124894,0.126672,0.132124,2.80313,2.64412,10.8241,0.455554,0.464475,0.345711,0.344559,0.178753,0.165887,Sad
0.123304,0.128342,0.131922,0.144058,2.70106,2.4368,9.93875,0.437862,0.450981,0.335962,0.341082,0.167124,0.16151,Sad
0.118862,0.135075,0.141595,0.135844,2.30178,2.19823,5.02666,0.434345,0.445411,0.337328,0.329255,0.155624,0.152658,Sad
0.135007,0.126989,0.127625,0.139339,2.8065,2.62269,3.67745,0.462479,0.454452,0.331728,0.318723,0.188979,0.182047,Sad
0.136031,0.139664,0.136948,0.136204,2.37538,2.16872,3.70202,0.469475,0.471838,0.307592,0.297958,0.209417,0.21443,Sad
0.120006,0.126642,0.131161,0.139998,2.34141,2.11681,3.65826,0.462378,0.465208,0.328691,0.322695,0.183317,0.183869,Sad
0.136558,0.140082,0.144601,0.154162,2.68261,2.47148,3.45964,0.468158,0.459835,0.335245,0.312078,0.188336,0.178719,Sad
0.111263,0.133993,0.133562,0.138416,2.45601,2.12415,5.83873,0.462862,0.475128,0.342718,0.336227,0.17884,0.175033,Sad
0.118881,0.131469,0.140081,0.139462,2.51032,2.31752,3.76549,0.45498,0.451727,0.339439,0.332125,0.171443,0.161455,Sad
0.109537,0.120617,0.132372,0.133479,2.55361,2.39653,4.31121,0.462552,0.468444,0.343996,0.349239,0.177719,0.16504,Sad
0.11256,0.118152,0.123582,0.13641,2.51783,2.27249,4.6416,0.461302,0.46211,0.332687,0.333617,0.192935,0.173402,Sad
0.108307,0.130055,0.135952,0.114905,2.68639,2.56284,17.0576,0.465969,0.463151,0.333859,0.324454,0.200497,0.182882,Sad
0.120891,0.115308,0.12091,0.119569,3.08921,3.0078,47.7679,0.455374,0.45364,0.34598,0.34301,0.178777,0.165631,Sad
0.10794,0.122831,0.129839,0.107109,2.66244,2.51631,18.7541,0.450329,0.449163,0.329163,0.326467,0.1902,0.176073,Sad
0.125205,0.135021,0.141966,0.127333,2.81365,2.67498,10.8538,0.454125,0.460528,0.321293,0.317889,0.204639,0.177557,Sad
0.120092,0.130157,0.139306,0.125841,2.47028,2.40903,6.24783,0.433719,0.425796,0.306491,0.29655,0.199664,0.179334,Sad
0.119733,0.125355,0.137215,0.111894,2.21939,2.18009,7.09833,0.44163,0.444678,0.33782,0.343607,0.183671,0.182064,Sad
0.108165,0.125677,0.130272,0.110244,2.66405,2.58583,7.13988,0.441089,0.447323,0.33573,0.345079,0.183131,0.180531,Sad
0.116829,0.147115,0.153152,0.141371,2.77402,2.4659,7.55126,0.447437,0.464149,0.325565,0.326429,0.182406,0.177181,Sad
0.111557,0.132595,0.143458,0.121723,2.39409,2.20437,8.91699,0.432392,0.444249,0.325418,0.327309,0.200678,0.192712,Sad
0.108908,0.100597,0.0979848,0.121835,3.84969,3.65485,14.6665,0.452492,0.459879,0.347014,0.350238,0.165906,0.170325,Anger
0.103873,0.101317,0.0911994,0.10198,3.17265,3.05273,15.7504,0.455896,0.458672,0.354105,0.356926,0.158145,0.161618,Anger
0.0949942,0.0934576,0.0871346,0.112783,3.68206,3.56149,18.4637,0.458097,0.454156,0.346728,0.334083,0.17278,0.166012,Anger
0.112297,0.110911,0.106226,0.125514,3.76113,3.40338,15.851,0.456219,0.452019,0.337799,0.330998,0.172752,0.169565,Anger
0.118976,0.111569,0.0986855,0.131728,4.30993,4.09376,16.9217,0.442246,0.444332,0.339575,0.325515,0.162006,0.160751,Anger
0.100959,0.1043,0.0939312,0.115038,3.01276,2.85279,19.0385,0.45458,0.439308,0.338633,0.316047,0.170868,0.15788,Anger
0.108442,0.104935,0.0926012,0.131679,4.6898,4.4327,30.1365,0.458123,0.45291,0.35356,0.337729,0.166754,0.165831,Anger
0.107701,0.0974496,0.0938784,0.114098,2.95047,2.85253,18.2634,0.448676,0.446804,0.344002,0.332175,0.156644,0.155934,Anger
0.105422,0.0928163,0.0818692,0.11061,4.04311,3.89443,16.8282,0.456884,0.444178,0.340268,0.329629,0.171057,0.16724,Anger
0.120276,0.109324,0.0953883,0.139898,4.4869,3.9766,15.4812,0.45471,0.451396,0.350069,0.332695,0.171685,0.163554,Anger
0.102018,0.0951201,0.0836597,0.102378,3.44582,3.44624,16.7444,0.454547,0.449433,0.337083,0.330373,0.170026,0.161426,Anger
0.109613,0.0976406,0.0943917,0.124258,2.97594,2.68629,26.3405,0.441548,0.445284,0.311886,0.313918,0.170899,0.176926,Anger
0.097401,0.104222,0.0891713,0.11755,3.0123,2.84021,19.905,0.445331,0.43917,0.332286,0.313922,0.169703,0.161251,Anger
0.106003,0.0964093,0.0911919,0.109255,3.1888,2.94298,15.948,0.453945,0.45304,0.339434,0.337562,0.170512,0.164877,Disgust
0.113954,0.102644,0.0945031,0.108347,2.41737,2.35977,11.593,0.451275,0.452071,0.323843,0.316133,0.175674,0.168177,Disgust
0.120212,0.0935599,0.083978,0.115719,3.39457,3.16396,11.0803,0.441197,0.437587,0.329315,0.317935,0.17341,0.170329,Disgust
0.105061,0.0966574,0.089921,0.1073,2.65531,2.57854,10.2057,0.434594,0.436572,0.323407,0.316295,0.168228,0.160436,Disgust
0.101353,0.093712,0.0933786,0.102666,2.77808,2.78107,9.40823,0.432684,0.433328,0.326984,0.320329,0.166892,0.157905,Disgust
0.112245,0.102796,0.0964467,0.126409,4.36784,4.29579,12.1257,0.443827,0.435856,0.335636,0.319687,0.167628,0.161032,Disgust
0.102696,0.084399,0.0820546,0.100548,3.17489,3.11135,9.67742,0.441409,0.442405,0.326554,0.325569,0.171042,0.164559,Disgust
0.0992435,0.0842018,0.0768607,0.113379,4.05931,3.5388,9.14841,0.446891,0.44283,0.314733,0.314312,0.171537,0.166497,Disgust
0.106375,0.0908583,0.0777521,0.106835,3.44646,2.94614,9.17218,0.434374,0.439748,0.311844,0.308845,0.163634,0.165065,Disgust
0.111581,0.0932052,0.085714,0.110632,3.1393,2.88449,8.13694,0.424587,0.42307,0.315946,0.311538,0.163615,0.15836,Disgust
0.102153,0.088061,0.0816888,0.112543,3.77755,3.42158,7.08332,0.423865,0.426773,0.317914,0.314657,0.158012,0.157379,Disgust
0.107947,0.106719,0.0994769,0.120831,3.49938,3.20306,6.14668,0.423562,0.422674,0.312721,0.294093,0.168212,0.162399,Disgust
0.112218,0.0791998,0.0821711,0.112844,3.86653,3.52133,5.42225,0.429783,0.432014,0.322766,0.312094,0.165026,0.166097,Disgust
0.093605,0.106227,0.103588,0.110565,3.86746,3.53768,5.63689,0.438651,0.436047,0.321516,0.307527,0.170697,0.167222,Disgust
0.109006,0.106837,0.104849,0.1148,3.41147,3.18826,15.3772,0.437752,0.441337,0.326859,0.313788,0.163445,0.165592,Happy
0.0952767,0.107308,0.106342,0.0995767,3.05341,3.12348,11.3246,0.427774,0.419241,0.330959,0.320882,0.153605,0.145464,Happy
0.104739,0.0894577,0.0941438,0.113026,3.29259,3.02266,7.72304,0.45287,0.458046,0.324557,0.331421,0.188863,0.190687,Happy
0.123848,0.0976468,0.0929847,0.123024,4.14663,3.80389,5.18351,0.431664,0.437306,0.344632,0.33789,0.159561,0.161023,Happy
0.098453,0.108663,0.119724,0.125639,4.75327,4.01094,5.0582,0.433471,0.445567,0.329191,0.326225,0.153801,0.157911,Happy
0.113721,0.0977017,0.107879,0.118485,3.5016,3.2696,4.81519,0.433515,0.445495,0.330398,0.325753,0.164044,0.169032,Happy
0.0964838,0.0916698,0.102912,0.108426,4.00837,4.0155,5.55409,0.434881,0.445817,0.334926,0.332794,0.15928,0.159899,Happy
0.102375,0.106761,0.116701,0.122048,3.64881,3.39847,5.70853,0.428996,0.438176,0.321531,0.324627,0.155981,0.155757,Happy
0.144143,0.142687,0.15055,0.153148,3.09239,3.05363,18.844,0.424379,0.420448,0.29084,0.286464,0.175316,0.180829,Surprise
0.154592,0.156925,0.158819,0.156348,2.75785,2.86248,14.1183,0.438556,0.440809,0.302046,0.302142,0.17462,0.178499,Surprise
0.154318,0.146493,0.150064,0.160079,4.53772,4.36086,16.2372,0.455345,0.453436,0.313447,0.321753,0.191676,0.183848,Surprise
0.148015,0.138939,0.148938,0.155894,3.38185,3.43297,9.54029,0.459796,0.46311,0.339603,0.340097,0.193043,0.190042,Surprise
0.173259,0.15151,0.163179,0.163967,2.5616,2.77938,4.46081,0.463389,0.475966,0.364584,0.375201,0.159474,0.168047,Surprise
0.165968,0.157805,0.164422,0.153883,2.62971,2.72051,3.9809,0.479438,0.495552,0.360802,0.363982,0.175697,0.172502,Surprise
0.14448,0.148881,0.157803,0.14566,2.75909,2.80653,3.1712,0.500801,0.513227,0.351512,0.358827,0.19432,0.194642,Surprise
0.141359,0.152307,0.161671,0.152947,2.72059,2.78972,3.47625,0.495539,0.506901,0.348447,0.354135,0.196217,0.198377,Surprise
0.150871,0.145971,0.154141,0.149488,2.72385,2.77375,3.44744,0.491599,0.50975,0.352651,0.373283,0.190335,0.192473,Surprise
0.188177,0.15944,0.161454,0.168114,2.2759,2.36283,3.98456,0.479215,0.498674,0.361083,0.380258,0.17096,0.178578,Surprise
0.17959,0.163928,0.175832,0.168243,2.1711,2.2678,4.65036,0.486963,0.496405,0.355373,0.368439,0.200171,0.196851,Surprise
0.160047,0.154432,0.166612,0.156515,2.46601,2.60787,3.46793,0.515796,0.536315,0.368554,0.39825,0.20076,0.204819,Surprise
0.162822,0.150312,0.167752,0.155713,2.49437,2.6732,3.61952,0.494965,0.518676,0.36632,0.393292,0.188749,0.19357,Surprise
0.147392,0.148546,0.155417,0.14917,2.6973,2.81703,16.8926,0.46361,0.486156,0.349776,0.38323,0.168647,0.184061,Surprise
0.147944,0.163042,0.162258,0.151103,2.83563,2.81948,27.0898,0.466343,0.483259,0.339751,0.357269,0.171389,0.177686,Surprise
0.150047,0.152436,0.159877,0.153313,2.29826,2.34615,10.2752,0.462277,0.486346,0.343722,0.360252,0.169841,0.176012,Surprise
0.121559,0.123807,0.112887,0.124906,3.2104,3.09126,17.2935,0.491054,0.50261,0.345684,0.35358,0.183288,0.201292,Sad
0.104426,0.118746,0.124048,0.128403,3.33559,3.00353,19.7618,0.462969,0.480546,0.345515,0.364061,0.16831,0.188313,Sad
0.102246,0.119573,0.129887,0.124501,3.65547,3.41338,27.1171,0.461646,0.470762,0.339233,0.354533,0.170071,0.18323,Sad
0.108263,0.112405,0.122701,0.121462,3.92426,3.56217,23.254,0.454491,0.472624,0.334826,0.359646,0.174229,0.187549,Sad
0.101255,0.113263,0.121309,0.12225,3.86568,3.46648,22.136,0.451394,0.465214,0.341737,0.360734,0.164319,0.180166,Sad
0.106493,0.117564,0.124429,0.123426,3.6301,3.37981,38.8364,0.457281,0.467391,0.345569,0.367445,0.162033,0.169057,Sad
0.114828,0.127447,0.134879,0.136989,4.92669,4.44856,28.6108,0.4549,0.466371,0.337879,0.35299,0.168611,0.176097,Sad
0.138697,0.143091,0.151044,0.163998,4.16966,3.62699,44.9276,0.438987,0.448014,0.326113,0.325178,0.168133,0.173619,Sad
0.126092,0.132381,0.139622,0.14267,3.8048,3.60417,36.2317,0.436091,0.453634,0.335741,0.353144,0.154825,0.164666,Sad
0.111648,0.109066,0.111773,0.127721,5.16518,4.77219,45.2843,0.461397,0.484951,0.337812,0.368944,0.16769,0.180679,Sad
0.104588,0.119853,0.125976,0.121359,3.7336,3.50764,26.1731,0.463772,0.474216,0.34455,0.364543,0.167431,0.175774,Sad
0.0974598,0.122067,0.131682,0.122345,3.39938,3.08421,43.0131,0.459565,0.470378,0.332976,0.341881,0.181722,0.187788,Sad
0.100073,0.108258,0.119,0.10024,2.90323,3.09992,14.4243,0.483092,0.474335,0.354431,0.36191,0.176843,0.169408,Anger
0.103914,0.113269,0.123073,0.120042,3.48291,3.51729,10.172,0.472778,0.469069,0.352196,0.368624,0.165265,0.177736,Anger
0.0978281,0.107965,0.114073,0.114144,2.88491,2.90357,18.4316,0.466344,0.463896,0.362356,0.378392,0.162986,0.171478,Anger
0.0977422,0.106753,0.118084,0.125871,3.18284,3.2365,6.62726,0.487034,0.471443,0.357106,0.364387,0.176649,0.190393,Anger
0.0993611,0.110215,0.12329,0.118823,3.14242,3.163,7.96262,0.479969,0.46987,0.346624,0.352981,0.173207,0.179764,Anger
0.101933,0.11855,0.122335,0.119584,2.86901,2.77559,10.774,0.475911,0.474405,0.352257,0.3554,0.176319,0.176969,Anger
0.0918689,0.114239,0.123448,0.120036,3.52995,3.44923,13.4125,0.473055,0.465823,0.355901,0.368336,0.170858,0.18382,Anger
0.10255,0.114564,0.118438,0.118973,3.52819,3.51905,10.1097,0.47182,0.463551,0.365782,0.361827,0.166625,0.166743,Anger
0.0987128,0.113662,0.122763,0.119801,3.42972,3.50358,12.102,0.475647,0.476705,0.369131,0.378257,0.154558,0.167052,Anger
0.0967675,0.112596,0.121051,0.111532,3.24855,3.22794,13.8561,0.47186,0.475057,0.363105,0.374377,0.160576,0.170139,Anger
0.0878729,0.103844,0.121814,0.117755,3.61394,3.60656,10.2945,0.472739,0.465542,0.344212,0.355084,0.179303,0.186427,Anger
0.104083,0.109393,0.120814,0.112946,3.34566,3.29664,10.8829,0.47246,0.471072,0.351467,0.358257,0.167223,0.175404,Anger
0.105438,0.121465,0.126572,0.114438,3.05236,3.02649,18.0031,0.454727,0.457217,0.349557,0.366448,0.155527,0.166823,Anger
0.0953648,0.106156,0.111626,0.102724,3.25982,3.46777,25.0685,0.460891,0.452751,0.352053,0.36051,0.171293,0.171262,Anger
0.105157,0.111631,0.123433,0.123226,3.66679,3.59901,9.28062,0.457984,0.453876,0.351726,0.360607,0.154419,0.166177,Anger
0.105839,0.110631,0.116714,0.123169,4.00902,3.81861,11.8322,0.475195,0.468796,0.349756,0.359169,0.170152,0.179085,Anger
0.0944366,0.102589,0.110723,0.100335,3.05744,3.05472,10.9779,0.46722,0.474789,0.359886,0.372426,0.164883,0.171327,Anger
0.0954076,0.11272,0.11907,0.120521,3.74463,3.65648,10.2008,0.492111,0.495119,0.36441,0.377242,0.174053,0.186177,Anger
0.109338,0.10878,0.106652,0.12358,3.77658,3.69384,9.20927,0.46919,0.468349,0.35562,0.351364,0.157973,0.167962,Anger
0.0994119,0.10996,0.117006,0.109668,3.02956,2.91993,8.74768,0.453095,0.463975,0.355449,0.362231,0.150158,0.162459,Anger
0.110047,0.109391,0.117211,0.12218,3.48035,3.28217,15.7091,0.440664,0.453319,0.339151,0.353378,0.156703,0.174744,Disgust
0.114619,0.102339,0.102511,0.120637,3.48883,3.34871,12.5681,0.452464,0.462783,0.342165,0.351704,0.160936,0.173421,Disgust
0.111115,0.104086,0.106704,0.124282,4.55193,4.39042,15.5647,0.46104,0.456609,0.338335,0.337708,0.177882,0.183554,Disgust
0.110162,0.107036,0.105883,0.114,4.19556,4.0541,15.8835,0.46204,0.478588,0.348438,0.36351,0.149707,0.160877,Disgust
0.110927,0.0880027,0.0970709,0.1144,3.98424,4.15839,15.6033,0.455568,0.471133,0.352537,0.372465,0.15625,0.16893,Disgust
0.112982,0.0978566,0.101061,0.128044,4.57727,4.33579,11.3257,0.465779,0.465076,0.336159,0.339152,0.182167,0.192332,Disgust
0.118716,0.110259,0.109121,0.127485,4.19466,3.98533,13.7773,0.464037,0.470012,0.357913,0.360308,0.150122,0.161442,Disgust
0.112857,0.104973,0.107649,0.127225,3.62949,3.57445,5.35387,0.449421,0.455137,0.356995,0.356273,0.156958,0.167147,Disgust
0.117512,0.0917503,0.0951762,0.133619,5.60144,5.48836,13.8904,0.458467,0.451398,0.344484,0.341673,0.175667,0.176207,Disgust
0.116038,0.100684,0.0997003,0.120289,4.0824,4.20215,15.4005,0.469217,0.461529,0.339947,0.335162,0.186047,0.186181,Disgust
0.116671,0.103979,0.0976838,0.115526,3.63284,3.71052,19.0556,0.464049,0.460361,0.359689,0.360779,0.158126,0.161005,Disgust
0.117224,0.0991603,0.0995664,0.140018,5.89148,5.58376,17.3471,0.464417,0.458694,0.342327,0.342357,0.178573,0.184823,Disgust
0.0984796,0.109172,0.124082,0.115959,2.94228,2.85095,10.0466,0.440337,0.449213,0.333159,0.349116,0.161273,0.177674,Happy
